Description...,Accession,Gene_id,BT_1,BT_2,BT_3,BT_4,BT_5,BT_6,BT_7,BT_8,BT_9,BT_10,BT_11,BT_12,BT_13,BT_14,CJK_1,CJK_2,CJK_3,CJK_4,CJK_5,CJK_6,CJK_7,CJK_8,CJK_9,CJK_10,CJK_11,CJK_12,CJK_13,CJK_14,CJK_16,CJK_17,CJK_18,CJK_19,CJK_20
Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,P08670|VIME_HUMAN,VIM,19877000000,28076000000,14804000000,20362000000,14570000000,29280000000,15778000000,15847000000,16233000000,12896000000,16899000000,15365000000,14548000000,13554000000,10292000000,3791700000,23893000000,14112000000,18623000000,21485000000,26674000000,14540000000,30536000000,21543000000,35099000000,13366000000,12080000000,23502000000,20860000000,8876000000,16961000000,5229900000,9981400000
Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,Q14315|FLNC_HUMAN,FLNC,556420000,131060000,772400000,241620000,351060000,129590000,623260000,193400000,407240000,257430000,1016900000,129040000,753910000,431010000,974760000,84175000,988370000,114840000,623870000,161170000,937590000,144150000,1203400000,544410000,1397200000,164980000,529420000,329760000,805120000,585940000,557950000,415340000,549290000
Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,P12814|ACTN1_HUMAN,ACTN1,1255800000,639910000,2463300000,2169800000,1251200000,1333700000,1987500000,1812000000,1580600000,1830600000,1751200000,1213700000,1562000000,1513100000,933470000,311390000,2351500000,513300000,1293200000,1272100000,2018200000,673760000,2486100000,2096600000,2807300000,765200000,1113400000,1998100000,1532300000,957480000,1519700000,578750000,1360500000
Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,P46821|MAP1B_HUMAN,MAP1B,357670000,113210000,570070000,368160000,301900000,207020000,533800000,245100000,342300000,188370000,425400000,108800000,337030000,140170000,615670000,36708000,933980000,116330000,649960000,194420000,940090000,98322000,1119800000,613010000,1114000000,127630000,508260000,375640000,330250000,437850000,254410000,209710000,236940000
Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,O43707|ACTN4_HUMAN,ACTN4,878620000,447620000,1156900000,1025100000,951260000,841750000,1164500000,1009400000,995630000,1127500000,992280000,705350000,1017100000,921560000,707790000,207560000,1495800000,311840000,847210000,696400000,1443000000,480910000,2240000000,1158500000,1813400000,440910000,753960000,926530000,718510000,626860000,929710000,286520000,676320000
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,P46940|IQGA1_HUMAN,IQGAP1,384350000,164480000,504130000,323090000,395650000,423800000,532000000,405380000,433080000,272250000,429630000,382030000,445020000,352280000,574540000,133290000,1177700000,360710000,633210000,621950000,824860000,199190000,1118500000,707330000,1086900000,464820000,497380000,883360000,544820000,506110000,772520000,302330000,575870000
Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5;,P02452|CO1A1_HUMAN,COL1A1,831920000,470900000,729090000,13114000,1560100000,1122000000,417320000,275060000,371260000,211500000,447370000,314150000,191710000,36302000,508550000,3174200,1015700000,32361000,1131500000,54592000,1222400000,42364000,1266100000,170120000,2071500000,12951000,526670000,72619000,84022000,282040000,37823000,174100000,168210000
Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,P21980|TGM2_HUMAN,TGM2,1539100000,956140000,4541700000,3255300000,2867900000,3190300000,4551400000,3601200000,4546100000,6150300000,2633600000,1541800000,1982000000,1172200000,1266000000,472710000,3157200000,690670000,1660800000,1853300000,3128700000,803520000,6230600000,10362000000,4990900000,934120000,4818100000,9402000000,6460700000,3263500000,5145600000,1075700000,2070800000
Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,P14618|KPYM_HUMAN,PKM,3883000000,2235600000,6553100000,3398000000,4800300000,4106500000,5756600000,3481300000,4620100000,3413400000,5223500000,2666700000,4246100000,2741400000,3826200000,1104200000,7843300000,1901900000,5165400000,3310800000,7401000000,2345400000,11772000000,7428400000,10586000000,1892900000,5536200000,6192600000,4538400000,5114600000,5473600000,1825500000,3316600000
Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,P08238|HS90B_HUMAN,HSP90AB1,347180000,171220000,506720000,303960000,421420000,355330000,374600000,242420000,351010000,277580000,439730000,165310000,268440000,252570000,532950000,116740000,884720000,143640000,553970000,221380000,725550000,93527000,767920000,306490000,870320000,142950000,415190000,387090000,392510000,325730000,313670000,212400000,249810000
Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,P49327|FAS_HUMAN,FASN,183530000,165060000,347520000,308390000,214090000,291890000,237340000,191810000,205630000,223240000,254510000,149450000,205860000,263890000,397090000,143660000,557780000,361120000,357990000,793660000,429320000,86892000,335430000,152320000,757300000,273340000,210810000,308210000,232160000,138980000,123650000,132880000,121650000
Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1,P60709|ACTB_HUMAN,ACTB,507600000,486910000,802880000,705730000,534480000,436340000,627380000,718230000,570560000,684910000,636820000,551830000,574290000,670070000,64347000,32612000,173420000,39224000,151820000,166450000,256140000,231700000,288170000,576160000,427270000,89313000,764170000,471020000,144670000,403660000,273290000,21281000,376670000
Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1,P63261|ACTG_HUMAN,ACTG1,556900000,591390000,1035200000,875540000,670820000,566850000,811330000,763970000,635880000,669850000,820940000,594200000,680420000,783660000,262040000,109430000,527580000,132510000,404390000,223370000,852170000,268520000,863540000,579390000,1857800000,102460000,517840000,582190000,471760000,361950000,238550000,92102000,263160000
Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,O75369|FLNB_HUMAN,FLNB,117580000,92219000,572680000,283790000,121010000,89235000,106470000,137010000,128430000,131320000,94272000,61975000,122930000,121790000,166000000,36632000,586860000,147350000,206360000,188050000,213400000,63173000,376140000,382840000,288790000,143800000,69393000,199910000,248410000,101900000,318070000,108560000,204610000
Actin  alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1,P68032|ACTC_HUMAN,ACTC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,P13639|EF2_HUMAN,EEF2,1179800000,717450000,1795300000,1217400000,1234200000,1226400000,1312700000,1017900000,1169500000,959160000,1601600000,754080000,795250000,1014500000,1420800000,602810000,2877700000,1303900000,1407100000,2660300000,2185100000,780090000,2756300000,2761900000,2588300000,1162200000,1647900000,2644400000,3130000000,1151300000,1811200000,851350000,1009400000
Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5;,P12111|CO6A3_HUMAN,COL6A3,61219000,210870000,5483900,11926000,61857000,475920000,41007000,19330000,174240000,13816000,77704000,112660000,12170000,7255500,118740000,27396000,283770000,601860000,81845000,393420000,152580000,55378000,135300000,126340000,238090000,150870000,66726000,170370000,30321000,115060000,115230000,99968000,118730000
Actin  aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1,P62736|ACTA_HUMAN,ACTA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,P07900|HS90A_HUMAN,HSP90AA1,229690000,133390000,421210000,291240000,262730000,250680000,289670000,174650000,266290000,197420000,307600000,141550000,241750000,204960000,779470000,89229000,1349100000,207070000,1020200000,470120000,1139500000,64333000,1333400000,560930000,1542000000,246980000,442370000,612400000,510070000,392920000,411050000,201920000,377870000
Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,P55072|TERA_HUMAN,VCP,494980000,409760000,780590000,544370000,507330000,491310000,556550000,398820000,472490000,394440000,654080000,357160000,435740000,449830000,507590000,140440000,1095400000,376200000,501820000,760710000,705580000,212270000,1041800000,950170000,890490000,294830000,539090000,1036800000,710580000,432190000,779620000,301270000,446480000
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,P04406|G3P_HUMAN,GAPDH,7499100000,4738700000,12655000000,7709100000,10572000000,9536900000,12918000000,8882000000,10836000000,10838000000,10793000000,5663600000,8005100000,5739800000,21452000000,4704300000,29691000000,8867400000,15595000000,16802000000,22394000000,9312300000,30774000000,30955000000,23835000000,9933000000,13375000000,26376000000,26572000000,14456000000,28195000000,10640000000,13551000000
Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7,P08123|CO1A2_HUMAN,COL1A2,403740000,245650000,394300000,15118000,746220000,459070000,195170000,149140000,165620000,122200000,226170000,166510000,106250000,13642000,287560000,2333200,519610000,13626000,478750000,8057300,598020000,1802700,531940000,48788000,873930000,10457000,230970000,54648000,19934000,144730000,28823000,93491000,86745000
Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4,P18206|VINC_HUMAN,VCL,907430000,856900000,1189500000,1112900000,838790000,1425700000,720420000,766120000,695730000,875150000,901040000,760570000,637270000,851200000,858260000,313140000,2040200000,747150000,999110000,1427500000,1778800000,781700000,1842400000,1835400000,2466600000,1098600000,901700000,1425300000,1048400000,573850000,1045300000,400350000,723730000
Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3;,P08133|ANXA6_HUMAN,ANXA6,663830000,501690000,1255100000,651280000,588670000,763440000,811470000,723490000,672770000,767210000,844760000,545290000,484440000,622490000,874900000,277530000,1724500000,558880000,1153500000,1253800000,1500800000,737050000,1680500000,1830000000,2338700000,941950000,630090000,1800300000,1179300000,662570000,1234700000,493020000,836380000
Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1;,P14625|ENPL_HUMAN,HSP90B1,1120600000,858320000,1472900000,1522800000,1054700000,1463900000,1433600000,1584400000,1070700000,1279700000,1296700000,974720000,1183400000,1506100000,1613600000,378560000,3005700000,869630000,1540700000,2097100000,2473500000,1663500000,3664500000,3161300000,2817300000,1108500000,2066400000,2561200000,2735900000,1435400000,2329000000,987720000,2053000000
Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P07237|PDIA1_HUMAN,P4HB,2077200000,1427300000,3085100000,2622100000,2228100000,2608100000,2943800000,2441200000,2269700000,2517800000,2476500000,1624000000,1943100000,1795300000,2824500000,488600000,4990900000,1282000000,3109300000,2619400000,4232600000,1814800000,5735000000,4940700000,5843400000,1328500000,2477500000,4485200000,4638800000,2143100000,3078600000,1101900000,3194300000
Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,P02545|LMNA_HUMAN,LMNA,956740000,930610000,1043400000,1022300000,955730000,1302800000,1248900000,1197200000,1018700000,814770000,1162800000,876380000,933490000,944600000,1193000000,320250000,2467700000,996580000,1653000000,1824400000,2931300000,1617500000,4637100000,2455600000,5465200000,1285300000,1995000000,1884800000,1776300000,988440000,1384600000,605430000,1479600000
Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,Q14764|MVP_HUMAN,MVP,389420000,276850000,347560000,246050000,311110000,315050000,296210000,197540000,292070000,151410000,392030000,300310000,235770000,170320000,5515500000,120040000,623450000,114150000,891650000,329330000,1199600000,96300000,597660000,364250000,1416100000,232770000,891180000,214630000,117320000,183640000,108090000,116310000,157540000
Actin  alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1,P68133|ACTS_HUMAN,ACTA1,0,64345000,73875000,194700000,3577000,68327000,122180000,9136000,33401000,89026000,46967000,85792000,32250000,169020000,NA,8318300,NA,NA,0,0,NA,NA,1112600,2281000,0,NA,26891000,0,NA,22524000,0,21610000,61768000
Actin  gamma-enteric smooth muscle OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=1,P63267|ACTH_HUMAN,ACTG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706140
Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2;,Q07065|CKAP4_HUMAN,CKAP4,1139600000,1299900000,1744600000,1383700000,1227800000,1480500000,1782500000,1340000000,1440900000,1247800000,2166600000,1350400000,1370900000,1336000000,1057500000,196250000,1741900000,421700000,1099200000,941300000,1826200000,1077500000,2417500000,1664400000,2308500000,669700000,1258200000,1432000000,1448700000,967140000,1022800000,722290000,1310900000
Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4;,P30101|PDIA3_HUMAN,PDIA3,1267700000,1051500000,1623800000,1287800000,1225800000,1411100000,1447000000,1303400000,1175800000,1324000000,1472400000,955410000,1196800000,1237800000,1345900000,404110000,2665600000,802980000,1698300000,1307000000,2024600000,1115700000,3115900000,2069000000,2869400000,788190000,1172000000,1983400000,1595700000,1194700000,1541300000,681720000,1531500000
Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3;,Q14697|GANAB_HUMAN,GANAB,233230000,163300000,347340000,285270000,274590000,316530000,275630000,261600000,228570000,205390000,229330000,175690000,260170000,210310000,869340000,123490000,1350300000,454500000,646320000,828500000,892020000,402060000,1151200000,681210000,1077900000,465820000,424790000,897370000,718050000,352880000,813540000,229400000,450260000
Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2;,P11021|BIP_HUMAN,HSPA5,1484300000,991010000,1683200000,1434400000,1121100000,1554600000,1706200000,1871900000,1318600000,1265800000,1557100000,1048100000,1569200000,1855200000,2006100000,408570000,2929100000,1004200000,2014300000,2035000000,2774900000,2468600000,4383200000,2631400000,2714300000,1433700000,1793600000,2556500000,2176700000,1482200000,2042100000,855990000,2058300000
Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,Q16555|DPYL2_HUMAN,DPYSL2,1037500000,1205500000,1106200000,1309200000,1156300000,1445300000,1261100000,1169300000,943180000,1125500000,929630000,952420000,1166300000,1034500000,873010000,255690000,1834200000,718700000,1384800000,1110900000,2338600000,594720000,2486300000,1880400000,3179700000,778980000,1139300000,1837200000,1087900000,760830000,975260000,375580000,748980000
Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,Q7KZF4|SND1_HUMAN,SND1,258840000,151290000,408900000,272530000,302580000,330770000,263320000,291930000,254320000,299570000,299790000,177630000,146920000,196270000,304400000,105010000,673600000,189570000,374410000,683700000,499710000,183980000,715710000,787700000,791310000,352450000,432880000,798730000,709700000,266840000,429650000,173660000,322320000
Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3;,P22314|UBA1_HUMAN,UBA1,514810000,377550000,780210000,564760000,413050000,474740000,486800000,358830000,394100000,382400000,429070000,246090000,280320000,319770000,381820000,85921000,882200000,281990000,500270000,466030000,721300000,153660000,696750000,426310000,610220000,194390000,265060000,561350000,376590000,267550000,414500000,169510000,265800000
Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;,Q9P2E9|RRBP1_HUMAN,RRBP1,215800000,186140000,315400000,231820000,252450000,303950000,333690000,325770000,226250000,232790000,350340000,188130000,223660000,226960000,278910000,38128000,570630000,100880000,417070000,231090000,608610000,123160000,664270000,381610000,1041000000,145260000,308620000,469570000,402870000,205780000,206010000,130090000,231510000
eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,Q92616|GCN1_HUMAN,GCN1,51392000,28566000,113050000,61612000,71522000,74641000,81329000,56161000,91146000,55663000,83920000,27914000,38905000,45893000,265970000,72704000,332960000,80491000,137980000,312160000,145980000,20474000,119410000,169000000,172190000,136190000,102490000,216880000,208930000,97438000,202490000,107470000,105650000
Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,P02751|FINC_HUMAN,FN1,69162000,47517000,76531000,42706000,54258000,116770000,110940000,102980000,83097000,68400000,102780000,36564000,37505000,42580000,396650000,110170000,707490000,194730000,376260000,549290000,393160000,103440000,477080000,625430000,344260000,175370000,184940000,766340000,687340000,180510000,345480000,179640000,330760000
Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,P07355|ANXA2_HUMAN,ANXA2,4302800000,3046300000,5229900000,2500000000,5278800000,3621400000,4766200000,4032600000,4126100000,2506300000,4268900000,2820200000,4174000000,3369900000,5375400000,1058300000,11042000000,3021600000,7356200000,7363900000,9348700000,3867700000,8921700000,5684200000,11971000000,4160300000,4970200000,6529300000,4685100000,3357900000,4200300000,3481600000,4162600000
Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1;,Q9NZM1|MYOF_HUMAN,MYOF,173820000,103060000,107510000,146100000,165410000,257820000,124650000,90158000,123230000,95998000,62749000,53662000,154750000,156700000,280480000,40194000,661870000,167410000,294160000,331900000,462350000,161920000,474860000,244100000,381930000,167570000,256760000,311450000,363110000,134170000,120070000,65999000,118810000
Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,P00558|PGK1_HUMAN,PGK1,799820000,489600000,1597900000,1301800000,905080000,771390000,1445700000,1428300000,1139100000,1610800000,1122800000,692190000,1151300000,782890000,830030000,315480000,1428700000,441400000,1116700000,896390000,1596400000,493250000,3153300000,2908600000,1876600000,505750000,1159800000,2303800000,2057600000,1779000000,2373800000,617120000,1304100000
Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2;,P08758|ANXA5_HUMAN,ANXA5,2397200000,1587200000,3850700000,2846200000,2822300000,3506100000,2574100000,2670100000,2082400000,2239000000,2271100000,1729800000,2183900000,2191500000,2088400000,846790000,4685500000,1940600000,2341800000,3330500000,3289700000,1250700000,4061600000,4931800000,5759700000,1845800000,2659100000,4495500000,3856400000,2427000000,3664600000,977290000,2099800000
Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3;,P26038|MOES_HUMAN,MSN,463280000,304130000,644920000,399820000,412720000,394950000,548680000,414140000,458410000,395970000,626670000,304770000,392820000,347730000,432400000,77662000,914320000,163450000,605350000,408540000,957270000,202030000,1118100000,640430000,1529800000,253960000,586680000,511000000,429650000,390750000,395220000,202380000,358100000
Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,O00410|IPO5_HUMAN,IPO5,330640000,129900000,353130000,147580000,290890000,186510000,210430000,402770000,175660000,120620000,272870000,111260000,191200000,147270000,336730000,94648000,536150000,158000000,216390000,370380000,273910000,60535000,330220000,598690000,317650000,145660000,146830000,274800000,224100000,193780000,202460000,116130000,146990000
Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2;;,P50454|SERPH_HUMAN,SERPINH1,1909400000,1199400000,2137300000,1436000000,1912300000,1839900000,1802300000,1404900000,1656300000,1284600000,2318000000,1447700000,1579200000,1377900000,2134300000,566200000,4446800000,954640000,2726800000,2265300000,3422700000,1361800000,4691300000,2116600000,5572800000,870950000,1983500000,2200400000,1298600000,1375600000,1354800000,957400000,2213700000
Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;,Q9Y4L1|HYOU1_HUMAN,HYOU1,289190000,111690000,433650000,297360000,213870000,242070000,393200000,367010000,323910000,270190000,363350000,195330000,302870000,322070000,171710000,169450000,335490000,57302000,167390000,197420000,282600000,136810000,353750000,225700000,440680000,114650000,180730000,240410000,197890000,117760000,129630000,97874000,191330000
Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,P27816|MAP4_HUMAN,MAP4,315180000,153190000,536230000,320120000,344070000,246620000,468230000,254910000,406000000,222090000,517060000,209980000,449510000,228400000,342330000,41525000,691770000,116180000,577700000,150590000,786350000,97427000,1085000000,464290000,1462600000,132930000,537630000,423130000,333980000,372490000,280390000,130180000,243730000
Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,P11142|HSP7C_HUMAN,HSPA8,299810000,242380000,266280000,311850000,233920000,399790000,162380000,304670000,189370000,213280000,298120000,229000000,298110000,425180000,563090000,197660000,1085900000,471580000,708300000,918630000,961510000,535260000,1756300000,669430000,958280000,685520000,485030000,1000900000,717790000,580380000,675550000,292610000,675190000
DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3;,P78527|PRKDC_HUMAN,PRKDC,125580000,12090000,146260000,40777000,47959000,64143000,61934000,114930000,50780000,17837000,48293000,16971000,21515000,18138000,110890000,35780000,185140000,97568000,100330000,291900000,74107000,49276000,116290000,203090000,208050000,166060000,63475000,157210000,89894000,41981000,90308000,60584000,135700000
ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;;,P06576|ATPB_HUMAN,ATP5F1B,1112400000,964990000,1452000000,1244200000,995560000,1441200000,1192800000,1254700000,887370000,871410000,1208000000,881070000,1007400000,1163500000,1126500000,326020000,1809600000,739570000,1001600000,1554300000,1291400000,1084900000,1749900000,1718100000,1772100000,859730000,930090000,1450100000,1649800000,656900000,1448100000,447920000,1265400000
60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2,P10809|CH60_HUMAN,HSPD1,475420000,324410000,627440000,456820000,365330000,468550000,477090000,240040000,383150000,201400000,635380000,307700000,295750000,315290000,600770000,116690000,1116800000,351540000,437870000,756050000,665430000,514570000,1103100000,537020000,952430000,421380000,482100000,837570000,639840000,207690000,464760000,196290000,488060000
Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;,O00159|MYO1C_HUMAN,MYO1C,106820000,127980000,94263000,193040000,217480000,296660000,209550000,170130000,89100000,175920000,83715000,168970000,207190000,189810000,177210000,74143000,462640000,240230000,448040000,408950000,302520000,51842000,329310000,349580000,240820000,168490000,138420000,347490000,251980000,251670000,440500000,79823000,235720000
